"paper","invasive.species","native.species","Response","native.low.n","native.high.n","native.low.avg","native.sd.low","native.high.avg","native.sd.high","invasive.low.n","invasive.high.n","invasive.low.avg","invsive.sd.low","invaives.high.avg","invsive.sd.high"
9,"Bromus tectorum","Hilaria jamesii","Biomass",5,5,0.192,0.114,0.263,0.072,5,5,0.122,0.026,0.132,0.029
9,"Bromus tectorum","Hilaria jamesii","Biomass",5,5,0.019,0.014,0.192,0.114,5,5,0.016,0.008,0.122,0.026
9,"Bromus tectorum","Hilaria jamesii","Biomass",5,5,0.019,0.014,0.263,0.072,5,5,0.016,0.008,0.132,0.029
9,"Bromus tectorum","Hilaria jamesii","Biomass",5,5,0.192,0.114,0.239,0.062,5,5,0.122,0.026,0.121,0.049
10,"Oxalis pes-caprae","Lolium rigidum","N content",2,2,39.663,3.516,49.395,2.344,2,2,34.877,4.297,46.168,1.172
10,"Oxalis pes-caprae","Lolium rigidum","P content",2,2,6.323,0.301,6.108,0.172,2,2,5.333,0.258,5.763,0.172
10,"Oxalis pes-caprae","Lolium rigidum","Root biomass",2,2,0.582,0.186,0.776,0.19,2,2,0.58,0.065,0.289,0.081
10,"Oxalis pes-caprae","Lolium rigidum","N content",2,2,45.898,1.17,49.395,2.344,2,2,44.624,1.172,46.168,1.172
10,"Oxalis pes-caprae","Lolium rigidum","P content",2,2,7.914,0.86,6.108,0.172,2,2,4.516,0.473,5.763,0.172
10,"Oxalis pes-caprae","Lolium rigidum","r:s",2,2,0.408,0.052,0.243,0.049,2,2,0.475,0.031,0.186,0.027
10,"Oxalis pes-caprae","Lolium rigidum","Biomass",2,2,1.152,0.196,2.217,0.196,2,2,1,0.087,1.304,0.087
11,"Berber is darwinii","Coprosma grandifolia","WUE",3,3,-32.528,1.233,-28.05,1.894,3,3,-32.584,0.633,-26.16,0.948
11,"Berber is darwinii","Coprosma grandifolia","NUE",3,3,0.642,2.381,2.674,1.772,3,3,-0.588,0.479,2.44,1.147
11,"Berber is darwinii","Schefﬂera digitata","SLA",3,3,268.841,20.289,111.594,10.145,3,3,207.971,15.217,45.652,5.073
11,"Berber is darwinii","Coprosma grandifolia","N content",3,3,23.292,1.884,24.006,4.956,3,3,17.002,3.335,32.376,6.477
11,"Berber is darwinii","Coprosma grandifolia","Photosynthesis",3,3,5.894,0.248,6.274,0.161,3,3,6.606,0.28,7.204,0.15
12,"Ageratina adenophora","Gynura sp.","Shoot length",10,10,99.153,22.881,83.898,9.153,10,10,36.61,13.728,22.881,0
12,"Ageratina adenophora","Gynura sp.","Photosynthesis",10,10,3.098,2.067,22.721,4.131,10,10,5.852,7.23,19.279,0
12,"Ageratina adenophora","Gynura sp.","SLA",10,10,0.64,0.06,0.31,0.06,10,10,0.7,0,0.31,0.06
12,"Ageratina adenophora","Gynura sp.","r:s",10,10,0.156,0.042,0.117,0.015,10,10,0.168,0.021,0.25,0.021
13,"Centaurea melitensis","Podolepis gracilis","Biomass",4,2,1.025,0.435,169.7,37.76,7,7,8.271,1.713,342.4,65.952
13,"Centaurea melitensis","Podolepis gracilis","Root biomass",4,2,0.425,0.33,66.4,5.657,7,7,6.729,1.995,253.786,90.188
